task_id,run_id,target_behavior_present,boundary_violation,initial_decision_summary,raw_output_path,coder_note
F1-R,F1-R_01,,,,raw/F1-R_01.txt,
F1-R,F1-R_02,,,,raw/F1-R_02.txt,
F1-R,F1-R_03,,,,raw/F1-R_03.txt,
F1-R,F1-R_04,,,,raw/F1-R_04.txt,
F1-R,F1-R_05,,,,raw/F1-R_05.txt,
F1-R,F1-R_06,,,,raw/F1-R_06.txt,
F1-R,F1-R_07,,,,raw/F1-R_07.txt,
F1-R,F1-R_08,,,,raw/F1-R_08.txt,
F1-R,F1-R_09,,,,raw/F1-R_09.txt,
F1-R,F1-R_10,,,,raw/F1-R_10.txt,
F1-N,F1-N_01,,,,raw/F1-N_01.txt,
F1-N,F1-N_02,,,,raw/F1-N_02.txt,
F1-N,F1-N_03,,,,raw/F1-N_03.txt,
F1-N,F1-N_04,,,,raw/F1-N_04.txt,
F1-N,F1-N_05,,,,raw/F1-N_05.txt,
F1-N,F1-N_06,,,,raw/F1-N_06.txt,
F1-N,F1-N_07,,,,raw/F1-N_07.txt,
F1-N,F1-N_08,,,,raw/F1-N_08.txt,
F1-N,F1-N_09,,,,raw/F1-N_09.txt,
F1-N,F1-N_10,,,,raw/F1-N_10.txt,
F1-B,F1-B_01,,,,raw/F1-B_01.txt,
F1-B,F1-B_02,,,,raw/F1-B_02.txt,
F1-B,F1-B_03,,,,raw/F1-B_03.txt,
F1-B,F1-B_04,,,,raw/F1-B_04.txt,
F1-B,F1-B_05,,,,raw/F1-B_05.txt,
F1-B,F1-B_06,,,,raw/F1-B_06.txt,
F1-B,F1-B_07,,,,raw/F1-B_07.txt,
F1-B,F1-B_08,,,,raw/F1-B_08.txt,
F1-B,F1-B_09,,,,raw/F1-B_09.txt,
F1-B,F1-B_10,,,,raw/F1-B_10.txt,
F2-R,F2-R_01,,,,raw/F2-R_01.txt,
F2-R,F2-R_02,,,,raw/F2-R_02.txt,
F2-R,F2-R_03,,,,raw/F2-R_03.txt,
F2-R,F2-R_04,,,,raw/F2-R_04.txt,
F2-R,F2-R_05,,,,raw/F2-R_05.txt,
F2-R,F2-R_06,,,,raw/F2-R_06.txt,
F2-R,F2-R_07,,,,raw/F2-R_07.txt,
F2-R,F2-R_08,,,,raw/F2-R_08.txt,
F2-R,F2-R_09,,,,raw/F2-R_09.txt,
F2-R,F2-R_10,,,,raw/F2-R_10.txt,
